20_1_2,36.4,72.7,1,1.0925515
18_1_2,36.3,67.8,0.96,0.977731326
4_1_1,25.8,86.5,0.95,1.555161079
4_7_1,61.5,8.8,0.91,0.104510736
20_7_1,56,17.3,0.89,0.207009088
11_1_2,26.2,73.2,0.86,1.105211867
21_1_2,24.8,69.9,0.82,1.025041374
15_1_2,24.1,70.1,0.81,1.029686682
9_1_1,20.2,76.1,0.8,1.182875968
12_1_2,17.9,73.2,0.75,1.105211867
12_1_1,10.8,86.2,0.74,1.541190033
4_1_2,19.6,68.2,0.74,0.986545039
18_1_1,8.6,88,0.72,1.629665578
11_1_1,9.2,86.6,0.72,1.559882119
23_1_4,8.1,87.2,0.71,1.588915328
24_1_1,8.2,86.5,0.71,1.555161079
4_11_1,20.5,62.4,0.71,0.8665329
3_7_2,35.5,31.8,0.71,0.390215087
21_1_1,7.3,86.7,0.7,1.564635975
3_1_1,7.7,86.1,0.7,1.53659549
20_1_1,8.1,85.5,0.7,1.509653439
12_7_2,11.7,78.1,0.7,1.241324625
20_1_4,7.7,85.6,0.69,1.514071444
8_1_1,9,82.4,0.69,1.384918513
21_1_4,5.7,88.1,0.68,1.634936839
29_7_2,8.8,80.8,0.68,1.328165534
23_1_2,13.8,70.8,0.68,1.046149886
19_1_2,14.8,69,0.68,1.00444599
11_1_4,4.7,88.2,0.67,1.640249758
18_1_4,6.1,85.7,0.67,1.51851784
23_1_1,6.6,84.9,0.67,1.483720182
15_1_1,6.5,83.3,0.66,1.41892236
5_1_1,4.3,86.1,0.65,1.53659549
5_1_2,11,72.9,0.65,1.097591986
15_1_4,5.3,83.1,0.64,1.411224795
15_7_2,5.1,82.9,0.64,1.403609478
2_1_1,8,76.9,0.64,1.205725006
22_1_1,8.6,76.8,0.64,1.202831676
1_1_2,19.6,54.2,0.64,0.719001932
24_1_2,11.1,69.6,0.63,1.018120793
8_7_1,43.9,3.5,0.63,0.041476192
3_1_2,9.3,71.7,0.62,1.067804876
20_7_2,4.9,78.7,0.61,1.259769724
