Catalyst,x,y,z,ddG (% ee)
1_1_1,5.100124653,-27.74248913,-17.92239306,1.22628932
1_1_2,5.153813304,-27.57126568,-17.95050749,0.719001932
1_1_5,5.152788419,-27.59875852,-17.95553496,0
1_1_6,5.165622247,-27.89237994,-18.10020122,0
1_10_1,33.3137905,-4.891047594,29.25291214,0
1_10_2,33.30071767,-4.677671467,29.13255502,0
1_10_3,33.33144739,-4.926289911,29.32097884,0
1_10_4,33.27123467,-5.008671414,29.22911793,0
1_10_5,33.34235892,-4.988783746,29.17439462,0
1_10_6,33.45627926,-4.750305768,29.30353187,0
1_11_1,24.9137387,-0.494435666,-8.842800749,0.631876633
1_11_2,24.81149847,-0.533695599,-8.674475796,0
1_11_3,25.25753985,-0.284093084,-8.233175613,0
1_11_4,24.9917713,-0.411943486,-8.433244475,0
1_11_5,24.93392066,-0.487314266,-8.632724154,0
1_11_6,25.36725622,-0.391404192,-8.486569309,0
1_2_1,12.03903311,-10.46777673,-6.094130573,0.216792037
1_2_2,11.8591908,-10.60469237,-6.0493617,0.111677406
1_2_4,11.98831874,-10.45358793,-6.005263754,0
1_2_5,11.83933273,-10.71069676,-6.192516636,0
1_2_6,12.00593111,-10.90431943,-6.651220544,0
1_3_1,23.58226426,-7.780792445,-30.07453226,0.301286063
1_3_2,23.41181969,-7.823739457,-30.04868683,0.263687333
1_3_3,23.64422028,-7.792065941,-30.10926664,0
1_3_4,23.53090586,-7.777752295,-30.03746596,0.222921183
1_3_5,23.58751542,-7.560590292,-29.99901267,0
1_3_6,23.44942064,-8.3891702,-30.35698572,0
1_4_1,8.359618863,-15.40352296,-0.966089454,0
1_4_2,8.55684133,-14.9933752,-1.489367428,0
1_4_3,8.246312518,-15.64201931,-0.663647061,0
1_4_4,8.432470073,-15.22233624,-1.122204914,0.50183334
1_4_5,8.497570212,-15.14233285,-1.443921177,0
1_4_6,8.149261948,-15.98606736,-0.822552681,0
1_5_1,13.09732551,-19.82229275,-21.55356826,0
1_5_2,12.94804789,-19.76825283,-21.46252068,0
1_5_3,13.15879449,-19.90793939,-21.60122088,0
1_5_4,13.05801346,-19.74246551,-21.50810605,0
1_5_5,12.94496808,-19.91464094,-21.50964858,0
1_5_6,13.04754273,-20.27871547,-21.67189159,0
1_6_1,4.944522849,-25.11082805,-5.624116699,0.251273192
1_6_2,4.977752812,-24.88929319,-5.771826719,0
1_6_3,4.93600982,-25.25320867,-5.568128072,0
1_6_4,4.952686413,-25.00214244,-5.636056249,0
1_6_5,4.966457136,-25.02170137,-5.817319699,0
1_6_6,4.959130546,-25.38216347,-5.902079783,0
1_7_1,5.698872618,-20.43360884,-3.569387721,0.02013929
1_7_2,5.788383541,-20.14771892,-3.787301141,0.482219793
1_7_3,5.652003962,-20.6299113,-3.465630359,0
1_7_4,5.730873945,-20.28958334,-3.609331572,0.377082881
1_7_5,5.757580466,-20.32211932,-3.815092995,0
1_7_6,5.677557915,-20.82967453,-3.806288303,0
1_8_1,6.601565786,-19.28890951,-0.588646352,0.527439994
1_8_2,6.664826653,-19.03911259,-0.822630697,0
1_8_3,6.560489823,-19.4625134,-0.482302797,0.387581321
1_8_4,6.635018062,-19.14911232,-0.645787851,0
1_8_5,6.612034747,-19.22274659,-0.81943524,0
1_8_6,6.501361197,-19.73353027,-0.73453962,0
1_9_1,6.756095521,-23.11475844,2.338666563,0
1_9_2,6.719032139,-22.96666948,2.128578869,0
1_9_3,6.761086736,-23.24882954,2.405876246,0
1_9_4,6.753847251,-22.99933644,2.307548672,0
1_9_5,6.692300922,-23.14337147,2.086150072,0
1_9_6,6.681488055,-23.60826691,2.030473666,0
10_1_1,39.14944777,7.31012476,-88.27206983,1.041413101
10_1_2,41.0072841,-0.97483059,-87.97374707,0.638111952
10_1_4,39.58506034,2.069584603,-88.51076144,0
10_1_5,39.46702487,5.165779252,-88.34539516,0
10_1_6,59.31857276,-5.318092619,-76.8815304,0
10_10_1,93.07021221,28.79568223,-34.31311205,0
10_10_2,75.70002056,56.87568035,-38.28580294,0
10_10_3,71.65677385,58.94067433,-42.80956024,0
10_10_4,62.68753082,58.9733279,-55.42052374,0
10_10_5,58.94099149,55.91909719,-62.63095708,0
10_10_6,89.24880158,48.49709413,-6.596513422,0
10_11_1,83.59654914,9.582887533,-45.94208388,0.493396232
10_11_2,82.49040785,23.61170682,-41.52816433,0
10_11_3,84.4988684,16.72928098,-41.45789463,0
10_11_4,81.1844023,30.90080373,-38.38607902,0
10_11_5,82.29214059,8.252415268,-48.75369562,0
10_11_6,78.97845493,5.13215486,-54.78451194,0
10_2_1,65.44054229,33.6778171,-36.05913436,0.246322867
10_2_2,67.6444576,33.49636474,-31.69950296,0.593605431
10_2_4,66.21894157,33.98511343,-34.15231699,0
10_2_5,56.55476405,31.2542292,-50.86183907,0
10_2_6,70.32637713,28.76190952,-31.43892459,0
10_3_1,84.29417751,38.55540221,-38.96456031,0.098544358
10_3_2,80.00447721,-7.145110368,-63.19262335,0.071158472
10_3_3,61.24945642,3.576474106,-81.65038847,0
10_3_4,60.06765019,1.412117728,-82.58467198,0.061652209
